Year,region,Medal,Medal Count
1988,Denmark,Silver,1
1988,Djibouti,Bronze,1
1988,Djibouti,Gold,0
1988,Djibouti,Silver,0
1988,Finland,Bronze,4
1988,Finland,Gold,5
1988,Finland,Silver,2
1988,France,Bronze,7
1988,France,Gold,7
1988,France,Silver,4
1988,Germany,Bronze,53
1988,Germany,Gold,59
1988,Germany,Silver,63
1988,Greece,Bronze,1
1988,Greece,Gold,0
1988,Greece,Silver,0
1988,Hungary,Bronze,6
1988,Hungary,Gold,11
1988,Hungary,Silver,6
1988,Indonesia,Bronze,0
1988,Indonesia,Gold,0
1988,Indonesia,Silver,1
1988,Iran,Bronze,0
1988,Iran,Gold,0
1988,Iran,Silver,1
1988,Italy,Bronze,6
1988,Italy,Gold,8
1988,Italy,Silver,5
1988,Jamaica,Bronze,0
1988,Jamaica,Gold,0
1988,Jamaica,Silver,2
1988,Japan,Bronze,8
1988,Japan,Gold,4
1988,Japan,Silver,3
1988,Kenya,Bronze,2
1988,Kenya,Gold,5
1988,Kenya,Silver,2
1988,Liechtenstein,Bronze,1
1988,Liechtenstein,Gold,0
1988,Liechtenstein,Silver,0
1988,Mexico,Bronze,2
1988,Mexico,Gold,0
1988,Mexico,Silver,0
1988,Mongolia,Bronze,1
1988,Mongolia,Gold,0
1988,Mongolia,Silver,0
1988,Morocco,Bronze,2
1988,Morocco,Gold,1
1988,Morocco,Silver,0
1988,Netherlands,Bronze,7
1988,Netherlands,Gold,5
1988,Netherlands,Silver,4
1988,New Zealand,Bronze,8
1988,New Zealand,Gold,3
1988,New Zealand,Silver,2
1988,Norway,Bronze,2
1988,Norway,Gold,2
1988,Norway,Silver,6
1988,Pakistan,Bronze,1
1988,Pakistan,Gold,0
1988,Pakistan,Silver,0
1988,Peru,Bronze,0
1988,Peru,Gold,0
1988,Peru,Silver,1
1988,Philippines,Bronze,1
1988,Philippines,Gold,0
1988,Philippines,Silver,0
1988,Poland,Bronze,9
1988,Poland,Gold,2
1988,Poland,Silver,5
1988,Portugal,Bronze,0
1988,Portugal,Gold,1
1988,Portugal,Silver,0
1988,Romania,Bronze,6
1988,Romania,Gold,7
1988,Romania,Silver,11
1988,Russia,Bronze,55
1988,Russia,Gold,65
1988,Russia,Silver,40
1988,Senegal,Bronze,0
1988,Senegal,Gold,0
1988,Senegal,Silver,1
1988,Serbia,Bronze,6
1988,Serbia,Gold,3
1988,Serbia,Silver,6
1988,South Korea,Bronze,11
1988,South Korea,Gold,12
1988,South Korea,Silver,10
1988,Spain,Bronze,2
1988,Spain,Gold,1
1988,Spain,Silver,1
1988,Suriname,Bronze,0
1988,Suriname,Gold,1
1988,Suriname,Silver,0
1988,Sweden,Bronze,9
1988,Sweden,Gold,4
1988,Sweden,Silver,4
1988,Switzerland,Bronze,7
1988,Switzerland,Gold,5
1988,Switzerland,Silver,7
1988,Thailand,Bronze,1
1988,Thailand,Gold,0
1988,Thailand,Silver,0
1988,Turkey,Bronze,0
1988,Turkey,Gold,1
1988,Turkey,Silver,1
1988,UK,Bronze,9
1988,UK,Gold,5
1988,UK,Silver,10
1988,USA,Bronze,30
1988,USA,Gold,38
1988,USA,Silver,32
1988,"Virgin Islands, US",Bronze,0
1988,"Virgin Islands, US",Gold,0
1988,"Virgin Islands, US",Silver,1
1992,Algeria,Bronze,1
1992,Algeria,Gold,1
1992,Algeria,Silver,0
1992,Argentina,Bronze,1
1992,Argentina,Gold,0
1992,Argentina,Silver,0
1992,Australia,Bronze,11
1992,Australia,Gold,7
1992,Australia,Silver,9
1992,Austria,Bronze,8
1992,Austria,Gold,6
1992,Austria,Silver,9
1992,Bahamas,Bronze,1
1992,Bahamas,Gold,0
1992,Bahamas,Silver,0
1992,Belgium,Bronze,2
1992,Belgium,Gold,0
1992,Belgium,Silver,1
1992,Brazil,Bronze,0
1992,Brazil,Gold,2
1992,Brazil,Silver,1
1992,Bulgaria,Bronze,6
1992,Bulgaria,Gold,3
1992,Bulgaria,Silver,7
1992,Canada,Bronze,9
1992,Canada,Gold,9
1992,Canada,Silver,7
1992,China,Bronze,15
1992,China,Gold,16
1992,China,Silver,25
1992,Colombia,Bronze,1
1992,Colombia,Gold,0
1992,Colombia,Silver,0
1992,Croatia,Bronze,2
1992,Croatia,Gold,0
1992,Croatia,Silver,1
1992,Cuba,Bronze,11
1992,Cuba,Gold,14
1992,Cuba,Silver,6
1992,Czech Republic,Bronze,4
1992,Czech Republic,Gold,4
1992,Czech Republic,Silver,2
1992,Denmark,Bronze,4
1992,Denmark,Gold,1
1992,Denmark,Silver,1
1992,Estonia,Bronze,1
1992,Estonia,Gold,1
1992,Estonia,Silver,0
1992,Ethiopia,Bronze,2
1992,Ethiopia,Gold,1
1992,Ethiopia,Silver,0
1992,Finland,Bronze,5
1992,Finland,Gold,4
1992,Finland,Silver,3
1992,France,Bronze,17
1992,France,Gold,11
1992,France,Silver,10
1992,Germany,Bronze,34
1992,Germany,Gold,43
1992,Germany,Silver,31
1992,Ghana,Bronze,1
1992,Ghana,Gold,0
1992,Ghana,Silver,0
1992,Greece,Bronze,0
1992,Greece,Gold,2
1992,Greece,Silver,0
1992,Hungary,Bronze,7
1992,Hungary,Gold,11
1992,Hungary,Silver,12
1992,Individual Olympic Athletes,Bronze,2
1992,Individual Olympic Athletes,Gold,0
1992,Individual Olympic Athletes,Silver,1
1992,Indonesia,Bronze,1
1992,Indonesia,Gold,2
1992,Indonesia,Silver,2
1992,Iran,Bronze,2
1992,Iran,Gold,0
1992,Iran,Silver,1
1992,Ireland,Bronze,0
1992,Ireland,Gold,1
1992,Ireland,Silver,1
1992,Israel,Bronze,1
1992,Israel,Gold,0
1992,Israel,Silver,1
1992,Italy,Bronze,12
1992,Italy,Gold,10
1992,Italy,Silver,11
1992,Jamaica,Bronze,1
1992,Jamaica,Gold,0
1992,Jamaica,Silver,3
1992,Japan,Bronze,15
1992,Japan,Gold,4
1992,Japan,Silver,10
1992,Kenya,Bronze,2
1992,Kenya,Gold,2
1992,Kenya,Silver,4
1992,Latvia,Bronze,1
1992,Latvia,Gold,0
1992,Latvia,Silver,2
1992,Lithuania,Bronze,1
1992,Lithuania,Gold,1
1992,Lithuania,Silver,0
1992,Luxembourg,Bronze,0
1992,Luxembourg,Gold,0
1992,Luxembourg,Silver,2
1992,Malaysia,Bronze,1
1992,Malaysia,Gold,0
1992,Malaysia,Silver,0
1992,Mexico,Bronze,0
1992,Mexico,Gold,0
1992,Mexico,Silver,1
1992,Mongolia,Bronze,2
1992,Mongolia,Gold,0
1992,Mongolia,Silver,0
1992,Morocco,Bronze,1
1992,Morocco,Gold,1
1992,Morocco,Silver,1
1992,Namibia,Bronze,0
1992,Namibia,Gold,0
1992,Namibia,Silver,2
1992,Netherlands,Bronze,9
1992,Netherlands,Gold,3
1992,Netherlands,Silver,7
1992,New Zealand,Bronze,5
1992,New Zealand,Gold,1
1992,New Zealand,Silver,5
1992,Nigeria,Bronze,1
1992,Nigeria,Gold,0
1992,Nigeria,Silver,3
1992,North Korea,Bronze,6
1992,North Korea,Gold,4
1992,North Korea,Silver,0
1992,Norway,Bronze,6
1992,Norway,Gold,9
1992,Norway,Silver,9
1992,Pakistan,Bronze,1
1992,Pakistan,Gold,0
1992,Pakistan,Silver,0
1992,Peru,Bronze,0
1992,Peru,Gold,0
1992,Peru,Silver,1
1992,Philippines,Bronze,1
1992,Philippines,Gold,0
1992,Philippines,Silver,0
1992,Poland,Bronze,10
1992,Poland,Gold,3
1992,Poland,Silver,6
1992,Puerto Rico,Bronze,1
1992,Puerto Rico,Gold,0
1992,Puerto Rico,Silver,0
1992,Qatar,Bronze,1
1992,Qatar,Gold,0
1992,Qatar,Silver,0
1992,Romania,Bronze,8
1992,Romania,Gold,4
1992,Romania,Silver,6
1992,Russia,Bronze,37
1992,Russia,Gold,54
1992,Russia,Silver,44
1992,Slovenia,Bronze,2
1992,Slovenia,Gold,0
1992,Slovenia,Silver,0
1992,South Africa,Bronze,0
1992,South Africa,Gold,0
1992,South Africa,Silver,2
1992,South Korea,Bronze,12
1992,South Korea,Gold,14
1992,South Korea,Silver,6
1992,Spain,Bronze,3
1992,Spain,Gold,13
1992,Spain,Silver,7
1992,Suriname,Bronze,1
1992,Suriname,Gold,0
1992,Suriname,Silver,0
1992,Sweden,Bronze,7
1992,Sweden,Gold,2
1992,Sweden,Silver,7
1992,Switzerland,Bronze,2
1992,Switzerland,Gold,2
1992,Switzerland,Silver,0
1992,Taiwan,Bronze,0
1992,Taiwan,Gold,0
1992,Taiwan,Silver,1
1992,Thailand,Bronze,1
1992,Thailand,Gold,0
1992,Thailand,Silver,0
1992,Turkey,Bronze,2
1992,Turkey,Gold,2
1992,Turkey,Silver,2
1992,UK,Bronze,12
1992,UK,Gold,5
1992,UK,Silver,3
1992,USA,Bronze,39
1992,USA,Gold,42
1992,USA,Silver,38
1994,Australia,Bronze,1
1994,Australia,Gold,0
1994,Australia,Silver,0
1994,Austria,Bronze,4
1994,Austria,Gold,2
1994,Austria,Silver,3
1994,Belarus,Bronze,0
1994,Belarus,Gold,0
1994,Belarus,Silver,2
1994,Canada,Bronze,4
1994,Canada,Gold,3
1994,Canada,Silver,6
1994,China,Bronze,2
1994,China,Gold,0
1994,China,Silver,1
1994,Finland,Bronze,5
1994,Finland,Gold,0
1994,Finland,Silver,1
1994,France,Bronze,4
1994,France,Gold,0
1994,France,Silver,1
1994,Germany,Bronze,8
1994,Germany,Gold,9
1994,Germany,Silver,7
1994,Italy,Bronze,8
1994,Italy,Gold,7
1994,Italy,Silver,5
1994,Japan,Bronze,2
1994,Japan,Gold,1
1994,Japan,Silver,2
1994,Kazakhstan,Bronze,0
1994,Kazakhstan,Gold,1
1994,Kazakhstan,Silver,2
1994,Netherlands,Bronze,3
1994,Netherlands,Gold,0
1994,Netherlands,Silver,1
1994,Norway,Bronze,5
1994,Norway,Gold,8
1994,Norway,Silver,10
1994,Russia,Bronze,4
1994,Russia,Gold,11
1994,Russia,Silver,8
1994,Slovenia,Bronze,3
1994,Slovenia,Gold,0
1994,Slovenia,Silver,0
1994,South Korea,Bronze,1
1994,South Korea,Gold,4
1994,South Korea,Silver,1
1994,Sweden,Bronze,0
1994,Sweden,Gold,2
1994,Sweden,Silver,1
1994,Switzerland,Bronze,2
1994,Switzerland,Gold,3
1994,Switzerland,Silver,4
1994,UK,Bronze,2
1994,UK,Gold,0
1994,UK,Silver,0
1994,USA,Bronze,2
1994,USA,Gold,6
1994,USA,Silver,5
1994,Ukraine,Bronze,1
1994,Ukraine,Gold,1
1994,Ukraine,Silver,0
1994,Uzbekistan,Bronze,0
1994,Uzbekistan,Gold,1
1994,Uzbekistan,Silver,0
1996,Algeria,Bronze,1
1996,Algeria,Gold,2
1996,Algeria,Silver,0
1996,Argentina,Bronze,1
1996,Argentina,Gold,0
1996,Argentina,Silver,2
1996,Armenia,Bronze,0
1996,Armenia,Gold,1
1996,Armenia,Silver,1
1996,Australia,Bronze,23
1996,Australia,Gold,9
1996,Australia,Silver,9
1996,Austria,Bronze,2
1996,Austria,Gold,0
1996,Austria,Silver,1
1996,Azerbaijan,Bronze,0
1996,Azerbaijan,Gold,0
1996,Azerbaijan,Silver,1
1996,Bahamas,Bronze,0
1996,Bahamas,Gold,0
1996,Bahamas,Silver,1
1996,Belarus,Bronze,8
1996,Belarus,Gold,1
1996,Belarus,Silver,6
1996,Belgium,Bronze,2
1996,Belgium,Gold,2
1996,Belgium,Silver,2
1996,Brazil,Bronze,9
1996,Brazil,Gold,3
1996,Brazil,Silver,3
1996,Bulgaria,Bronze,5
1996,Bulgaria,Gold,3
1996,Bulgaria,Silver,7
1996,Burundi,Bronze,0
1996,Burundi,Gold,1
1996,Burundi,Silver,0
1996,Canada,Bronze,8
1996,Canada,Gold,3
1996,Canada,Silver,11
1996,China,Bronze,12
1996,China,Gold,17
1996,China,Silver,22
1996,Costa Rica,Bronze,0
1996,Costa Rica,Gold,1
1996,Costa Rica,Silver,0
1996,Croatia,Bronze,0
1996,Croatia,Gold,1
1996,Croatia,Silver,1
1996,Cuba,Bronze,8
1996,Cuba,Gold,9
1996,Cuba,Silver,8
1996,Czech Republic,Bronze,4
1996,Czech Republic,Gold,4
1996,Czech Republic,Silver,3
1996,Denmark,Bronze,1
1996,Denmark,Gold,4
1996,Denmark,Silver,1
1996,Ecuador,Bronze,0
1996,Ecuador,Gold,1
1996,Ecuador,Silver,0
1996,Ethiopia,Bronze,1
1996,Ethiopia,Gold,2
1996,Ethiopia,Silver,0
1996,Finland,Bronze,1
1996,Finland,Gold,1
1996,Finland,Silver,2
1996,France,Bronze,15
1996,France,Gold,15
1996,France,Silver,7
1996,Georgia,Bronze,2
1996,Georgia,Gold,0
1996,Georgia,Silver,0
1996,Germany,Bronze,27
1996,Germany,Gold,20
1996,Germany,Silver,18
1996,Greece,Bronze,0
1996,Greece,Gold,4
1996,Greece,Silver,4
1996,Hungary,Bronze,10
1996,Hungary,Gold,7
1996,Hungary,Silver,4
1996,India,Bronze,1
1996,India,Gold,0
1996,India,Silver,0
1996,Indonesia,Bronze,2
1996,Indonesia,Gold,1
1996,Indonesia,Silver,1
1996,Iran,Bronze,1
1996,Iran,Gold,1
1996,Iran,Silver,1
1996,Ireland,Bronze,1
1996,Ireland,Gold,3
1996,Ireland,Silver,0
1996,Israel,Bronze,1
1996,Israel,Gold,0
1996,Israel,Silver,0
1996,Italy,Bronze,12
1996,Italy,Gold,13
1996,Italy,Silver,10
1996,Jamaica,Bronze,2
1996,Jamaica,Gold,1
1996,Jamaica,Silver,3
1996,Japan,Bronze,5
1996,Japan,Gold,3
1996,Japan,Silver,6
1996,Kazakhstan,Bronze,4
1996,Kazakhstan,Gold,3
1996,Kazakhstan,Silver,4
1996,Kenya,Bronze,3
1996,Kenya,Gold,1
1996,Kenya,Silver,4
1996,Latvia,Bronze,0
1996,Latvia,Gold,0
1996,Latvia,Silver,1
1996,Lithuania,Bronze,1
1996,Lithuania,Gold,0
1996,Lithuania,Silver,0
1996,Malaysia,Bronze,1
1996,Malaysia,Gold,0
1996,Malaysia,Silver,1
1996,Mexico,Bronze,1
1996,Mexico,Gold,0
1996,Mexico,Silver,0
1996,Moldova,Bronze,1
1996,Moldova,Gold,0
1996,Moldova,Silver,1
1996,Mongolia,Bronze,1
1996,Mongolia,Gold,0
1996,Mongolia,Silver,0
1996,Morocco,Bronze,2
1996,Morocco,Gold,0
1996,Morocco,Silver,0
1996,Mozambique,Bronze,1
1996,Mozambique,Gold,0
1996,Mozambique,Silver,0
1996,Namibia,Bronze,0
1996,Namibia,Gold,0
1996,Namibia,Silver,2
1996,Netherlands,Bronze,10
1996,Netherlands,Gold,4
1996,Netherlands,Silver,5
1996,New Zealand,Bronze,1
1996,New Zealand,Gold,3
1996,New Zealand,Silver,2
1996,Nigeria,Bronze,3
1996,Nigeria,Gold,2
1996,Nigeria,Silver,1
1996,North Korea,Bronze,2
1996,North Korea,Gold,2
1996,North Korea,Silver,1
1996,Norway,Bronze,3
1996,Norway,Gold,2
1996,Norway,Silver,2
1996,Philippines,Bronze,0
1996,Philippines,Gold,0
1996,Philippines,Silver,1
1996,Poland,Bronze,5
1996,Poland,Gold,7
1996,Poland,Silver,5
1996,Portugal,Bronze,1
1996,Portugal,Gold,1
1996,Portugal,Silver,0
1996,Puerto Rico,Bronze,1
1996,Puerto Rico,Gold,0
1996,Puerto Rico,Silver,0
1996,Romania,Bronze,8
1996,Romania,Gold,4
1996,Romania,Silver,7
1996,Russia,Bronze,16
1996,Russia,Gold,26
1996,Russia,Silver,21
1996,Serbia,Bronze,2
1996,Serbia,Gold,1
1996,Serbia,Silver,1
1996,Slovakia,Bronze,1
1996,Slovakia,Gold,1
1996,Slovakia,Silver,1
1996,Slovenia,Bronze,0
1996,Slovenia,Gold,0
1996,Slovenia,Silver,2
1996,South Africa,Bronze,1
1996,South Africa,Gold,3
1996,South Africa,Silver,1
1996,South Korea,Bronze,5
1996,South Korea,Gold,7
1996,South Korea,Silver,15
1996,Spain,Bronze,6
1996,Spain,Gold,5
1996,Spain,Silver,6
1996,Sweden,Bronze,2
1996,Sweden,Gold,2
1996,Sweden,Silver,4
1996,Switzerland,Bronze,0
1996,Switzerland,Gold,4
1996,Switzerland,Silver,3
1996,Syria,Bronze,0
1996,Syria,Gold,1
1996,Syria,Silver,0
1996,Taiwan,Bronze,0
1996,Taiwan,Gold,0
1996,Taiwan,Silver,1
1996,Thailand,Bronze,1
1996,Thailand,Gold,1
1996,Thailand,Silver,0
1996,Tonga,Bronze,0
1996,Tonga,Gold,0
1996,Tonga,Silver,1
1996,Trinidad,Bronze,2
1996,Trinidad,Gold,0
1996,Trinidad,Silver,0
1996,Tunisia,Bronze,1
1996,Tunisia,Gold,0
1996,Tunisia,Silver,0
1996,Turkey,Bronze,1
1996,Turkey,Gold,4
1996,Turkey,Silver,1
1996,UK,Bronze,6
1996,UK,Gold,1
1996,UK,Silver,8
1996,USA,Bronze,25
1996,USA,Gold,44
1996,USA,Silver,32
1996,Uganda,Bronze,1
1996,Uganda,Gold,0
1996,Uganda,Silver,0
1996,Ukraine,Bronze,12
1996,Ukraine,Gold,9
1996,Ukraine,Silver,2
1996,Uzbekistan,Bronze,1
1996,Uzbekistan,Gold,0
1996,Uzbekistan,Silver,1
1996,Zambia,Bronze,0
1996,Zambia,Gold,0
1996,Zambia,Silver,1
1998,Australia,Bronze,1
1998,Australia,Gold,0
1998,Australia,Silver,0
1998,Austria,Bronze,9
1998,Austria,Gold,3
1998,Austria,Silver,5
1998,Belarus,Bronze,2
1998,Belarus,Gold,0
1998,Belarus,Silver,0
1998,Belgium,Bronze,1
1998,Belgium,Gold,0
1998,Belgium,Silver,0
1998,Bulgaria,Bronze,0
1998,Bulgaria,Gold,1
1998,Bulgaria,Silver,0
1998,Canada,Bronze,4
1998,Canada,Gold,6
1998,Canada,Silver,5
1998,China,Bronze,2
1998,China,Gold,0
1998,China,Silver,6
1998,Czech Republic,Bronze,1
1998,Czech Republic,Gold,1
1998,Czech Republic,Silver,1
1998,Denmark,Bronze,0
1998,Denmark,Gold,0
1998,Denmark,Silver,1
1998,Finland,Bronze,6
1998,Finland,Gold,2
1998,Finland,Silver,4
1998,France,Bronze,5
1998,France,Gold,2
1998,France,Silver,1
1998,Germany,Bronze,8
1998,Germany,Gold,12
1998,Germany,Silver,9
1998,Italy,Bronze,2
1998,Italy,Gold,2
1998,Italy,Silver,6
1998,Japan,Bronze,4
1998,Japan,Gold,5
1998,Japan,Silver,1
1998,Kazakhstan,Bronze,2
1998,Kazakhstan,Gold,0
1998,Kazakhstan,Silver,0
1998,Netherlands,Bronze,2
1998,Netherlands,Gold,5
1998,Netherlands,Silver,4
1998,Norway,Bronze,5
1998,Norway,Gold,8
1998,Norway,Silver,9
1998,Russia,Bronze,3
1998,Russia,Gold,9
1998,Russia,Silver,6
1998,South Korea,Bronze,2
1998,South Korea,Gold,3
1998,South Korea,Silver,1
1998,Sweden,Bronze,1
1998,Sweden,Gold,0
1998,Sweden,Silver,2
1998,Switzerland,Bronze,3
1998,Switzerland,Gold,2
1998,Switzerland,Silver,2
1998,UK,Bronze,1
1998,UK,Gold,0
1998,UK,Silver,0
1998,USA,Bronze,4
1998,USA,Gold,6
1998,USA,Silver,3
1998,Ukraine,Bronze,0
1998,Ukraine,Gold,0
1998,Ukraine,Silver,1
2000,Algeria,Bronze,3
2000,Algeria,Gold,1
2000,Algeria,Silver,1
2000,Argentina,Bronze,2
2000,Argentina,Gold,0
2000,Argentina,Silver,2
2000,Armenia,Bronze,1
2000,Armenia,Gold,0
2000,Armenia,Silver,0
2000,Australia,Bronze,17
2000,Australia,Gold,16
2000,Australia,Silver,25
2000,Austria,Bronze,0
2000,Austria,Gold,2
2000,Austria,Silver,1
2000,Azerbaijan,Bronze,1
2000,Azerbaijan,Gold,2
2000,Azerbaijan,Silver,0
2000,Bahamas,Bronze,1
2000,Bahamas,Gold,2
2000,Bahamas,Silver,0
2000,Barbados,Bronze,1
2000,Barbados,Gold,0
2000,Barbados,Silver,0
2000,Belarus,Bronze,11
2000,Belarus,Gold,3
2000,Belarus,Silver,3
2000,Belgium,Bronze,3
2000,Belgium,Gold,0
2000,Belgium,Silver,2
2000,Brazil,Bronze,6
2000,Brazil,Gold,0
2000,Brazil,Silver,6
2000,Bulgaria,Bronze,2
2000,Bulgaria,Gold,5
2000,Bulgaria,Silver,6
2000,Cameroon,Bronze,0
2000,Cameroon,Gold,1
2000,Cameroon,Silver,0
2000,Canada,Bronze,8
2000,Canada,Gold,3
2000,Canada,Silver,3
2000,Chile,Bronze,1
2000,Chile,Gold,0
2000,Chile,Silver,0
2000,China,Bronze,14
2000,China,Gold,28
2000,China,Silver,16
2000,Colombia,Bronze,0
2000,Colombia,Gold,1
2000,Colombia,Silver,0
2000,Costa Rica,Bronze,2
2000,Costa Rica,Gold,0
2000,Costa Rica,Silver,0
2000,Croatia,Bronze,1
2000,Croatia,Gold,1
2000,Croatia,Silver,0
2000,Cuba,Bronze,7
2000,Cuba,Gold,11
2000,Cuba,Silver,11
2000,Czech Republic,Bronze,3
2000,Czech Republic,Gold,2
2000,Czech Republic,Silver,3
2000,Denmark,Bronze,1
2000,Denmark,Gold,2
2000,Denmark,Silver,3
2000,Estonia,Bronze,2
2000,Estonia,Gold,1
2000,Estonia,Silver,0
2000,Ethiopia,Bronze,3
2000,Ethiopia,Gold,4
2000,Ethiopia,Silver,1
2000,Finland,Bronze,1
2000,Finland,Gold,2
2000,Finland,Silver,1
2000,France,Bronze,11
2000,France,Gold,13
2000,France,Silver,14
2000,Georgia,Bronze,6
2000,Georgia,Gold,0
2000,Georgia,Silver,0
2000,Germany,Bronze,26
2000,Germany,Gold,13
2000,Germany,Silver,17
2000,Greece,Bronze,3
2000,Greece,Gold,4
2000,Greece,Silver,6
2000,Hungary,Bronze,3
2000,Hungary,Gold,8
2000,Hungary,Silver,6
2000,Iceland,Bronze,1
2000,Iceland,Gold,0
2000,Iceland,Silver,0
2000,India,Bronze,1
2000,India,Gold,0
2000,India,Silver,0
2000,Indonesia,Bronze,2
2000,Indonesia,Gold,1
2000,Indonesia,Silver,3
2000,Iran,Bronze,1
2000,Iran,Gold,3
2000,Iran,Silver,0
2000,Ireland,Bronze,0
2000,Ireland,Gold,0
2000,Ireland,Silver,1
2000,Israel,Bronze,1
2000,Israel,Gold,0
2000,Israel,Silver,0
2000,Italy,Bronze,13
2000,Italy,Gold,13
2000,Italy,Silver,8
2000,Jamaica,Bronze,3
2000,Jamaica,Gold,0
2000,Jamaica,Silver,6
2000,Japan,Bronze,5
2000,Japan,Gold,5
2000,Japan,Silver,8
2000,Kazakhstan,Bronze,0
2000,Kazakhstan,Gold,3
2000,Kazakhstan,Silver,4
2000,Kenya,Bronze,2
2000,Kenya,Gold,2
2000,Kenya,Silver,3
2000,Kuwait,Bronze,1
2000,Kuwait,Gold,0
2000,Kuwait,Silver,0
2000,Kyrgyzstan,Bronze,1
2000,Kyrgyzstan,Gold,0
2000,Kyrgyzstan,Silver,0
2000,Latvia,Bronze,1
2000,Latvia,Gold,1
2000,Latvia,Silver,1
2000,Lithuania,Bronze,3
2000,Lithuania,Gold,2
2000,Lithuania,Silver,0
2000,Macedonia,Bronze,1
2000,Macedonia,Gold,0
2000,Macedonia,Silver,0
2000,Mexico,Bronze,3
2000,Mexico,Gold,1
2000,Mexico,Silver,2
2000,Moldova,Bronze,1
2000,Moldova,Gold,0
2000,Moldova,Silver,1
2000,Morocco,Bronze,4
2000,Morocco,Gold,0
2000,Morocco,Silver,1
2000,Mozambique,Bronze,0
2000,Mozambique,Gold,1
2000,Mozambique,Silver,0
2000,Netherlands,Bronze,4
2000,Netherlands,Gold,12
2000,Netherlands,Silver,9
2000,New Zealand,Bronze,3
2000,New Zealand,Gold,1
2000,New Zealand,Silver,0
2000,Nigeria,Bronze,0
2000,Nigeria,Gold,1
2000,Nigeria,Silver,2
2000,North Korea,Bronze,3
2000,North Korea,Gold,0
2000,North Korea,Silver,1
2000,Norway,Bronze,3
2000,Norway,Gold,4
2000,Norway,Silver,3
2000,Poland,Bronze,3
2000,Poland,Gold,6
2000,Poland,Silver,5
2000,Portugal,Bronze,2
2000,Portugal,Gold,0
2000,Portugal,Silver,0
2000,Qatar,Bronze,1
2000,Qatar,Gold,0
2000,Qatar,Silver,0
2000,Romania,Bronze,9
2000,Romania,Gold,11
2000,Romania,Silver,6
2000,Russia,Bronze,29
2000,Russia,Gold,32
2000,Russia,Silver,28
2000,Saudi Arabia,Bronze,1
2000,Saudi Arabia,Gold,0
2000,Saudi Arabia,Silver,1
2000,Serbia,Bronze,1
2000,Serbia,Gold,1
2000,Serbia,Silver,1
2000,Slovakia,Bronze,1
2000,Slovakia,Gold,1
2000,Slovakia,Silver,3
2000,Slovenia,Bronze,0
2000,Slovenia,Gold,2
2000,Slovenia,Silver,0
2000,South Africa,Bronze,3
2000,South Africa,Gold,0
2000,South Africa,Silver,2
2000,South Korea,Bronze,10
2000,South Korea,Gold,8
2000,South Korea,Silver,10
2000,Spain,Bronze,5
2000,Spain,Gold,3
2000,Spain,Silver,3
2000,Sri Lanka,Bronze,0
2000,Sri Lanka,Gold,0
2000,Sri Lanka,Silver,1
2000,Sweden,Bronze,3
2000,Sweden,Gold,4
2000,Sweden,Silver,5
2000,Switzerland,Bronze,2
2000,Switzerland,Gold,1
2000,Switzerland,Silver,6
2000,Taiwan,Bronze,4
2000,Taiwan,Gold,0
2000,Taiwan,Silver,1
2000,Thailand,Bronze,2
2000,Thailand,Gold,1
2000,Thailand,Silver,0
2000,Trinidad,Bronze,1
2000,Trinidad,Gold,0
2000,Trinidad,Silver,1
2000,Turkey,Bronze,2
2000,Turkey,Gold,3
2000,Turkey,Silver,0
2000,UK,Bronze,7
2000,UK,Gold,11
2000,UK,Silver,10
2000,USA,Bronze,31
2000,USA,Gold,36
2000,USA,Silver,24
2000,Ukraine,Bronze,10
2000,Ukraine,Gold,3
2000,Ukraine,Silver,10
2000,Uruguay,Bronze,0
2000,Uruguay,Gold,0
2000,Uruguay,Silver,1
2000,Uzbekistan,Bronze,2
2000,Uzbekistan,Gold,1
2000,Uzbekistan,Silver,1
2000,Vietnam,Bronze,0
2000,Vietnam,Gold,0
2000,Vietnam,Silver,1
2002,Australia,Bronze,0
2002,Australia,Gold,2
2002,Australia,Silver,0
2002,Austria,Bronze,10
2002,Austria,Gold,3
2002,Austria,Silver,4
2002,Belarus,Bronze,1
2002,Belarus,Gold,0
2002,Belarus,Silver,0
2002,Bulgaria,Bronze,2
2002,Bulgaria,Gold,0
2002,Bulgaria,Silver,1
2002,Canada,Bronze,7
2002,Canada,Gold,7
2002,Canada,Silver,3
2002,China,Bronze,4
2002,China,Gold,2
2002,China,Silver,2
2002,Croatia,Bronze,0
2002,Croatia,Gold,3
2002,Croatia,Silver,1
2002,Czech Republic,Bronze,0
2002,Czech Republic,Gold,1
2002,Czech Republic,Silver,2
2002,Estonia,Bronze,1
2002,Estonia,Gold,1
2002,Estonia,Silver,1
2002,Finland,Bronze,1
2002,Finland,Gold,4
2002,Finland,Silver,2
2002,France,Bronze,2
2002,France,Gold,4
2002,France,Silver,5
2002,Germany,Bronze,8
2002,Germany,Gold,12
2002,Germany,Silver,16
2002,Italy,Bronze,5
2002,Italy,Gold,4
2002,Italy,Silver,4
2002,Japan,Bronze,1
2002,Japan,Gold,0
2002,Japan,Silver,1
2002,Netherlands,Bronze,0
2002,Netherlands,Gold,3
2002,Netherlands,Silver,5
2002,Norway,Bronze,7
2002,Norway,Gold,12
2002,Norway,Silver,5
2002,Poland,Bronze,1
2002,Poland,Gold,0
2002,Poland,Silver,1
2002,Russia,Bronze,4
2002,Russia,Gold,5
